Site Type,Recorded Sites
"home industrygunsmith, rural domestic house, farmstead, well",1
"home industrymoonshine still, check dam",1
"home industrypottery, iron_furnace, forge",1
"home industrypottery, rural domestic farmstead, private cemetery",1
"home industrypottery, rural domestic house",1
"home industrypottery, rural domestic house, farmstead",1
home industrysaddlery,1
home industrywagonmaking shop,1
"homeindustry_pottery, rural domestic farmstead, private cemetery",1
"hotel, springhouse",1
"industrial, Urban, rr spur",1
"industrial, distillery",1
"industrial, dump",1
"industrial, lumbering operation, blacksmith shop",1
"industrial, military",1
military training area,1
"military, commercial",1
"home industryblacksmith shop, store, rural domestic house",1
"militaryearthwork, artillery emplacement, small battlefield",1
"militaryearthwork, entrenchment, artillery emplacement, university",1
"militaryearthwork, entrenchment, cemetery",1
"militaryearthwork, entrenchment, headquarters, rural domestic house",1
"militaryearthwork, entrenchment, large battlefield",1
"militaryearthwork, entrenchment, long term encampment",1
"militaryearthwork, entrenchment, long term encampment, private cemetery",1
"militaryearthwork, entrenchment, long term encampment, rural domestic house",1
"militaryearthwork, entrenchment, priest cap",1
"militaryearthwork, entrenchment, rural domestic house, farmstead",1
"militaryearthwork, entrenchment, rural domestic plantation, road",1
"militaryearthwork, entrenchment, short term encampment, private cemetery",1
"militaryearthwork, large battlefield, long term encampment",1
"militaryearthwork, redoubt, rr guard post, long term encampment, headquarters",1
"militaryearthwork, small battlefield",1
"militaryearthwork, small battlefield, long term encampment",1
militaryearthwork_,1
"militaryearthwork_artillery emplacement, large battlefield, long term encampment, road, cemetery",1
"militaryearthwork_entrenchment, Urban domestic house",1
"militaryearthwork_entrenchment, short term encampment, ferry, road",1
"militaryearthwork, entrenchment",1
"militarycemetery, small battlefield",1
"military, commercialoffice",1
"militaryblockhouse, stockade, rr guard post, long term encampment, mill_saw, rural domestic house",1
"military, industrial",1
"military, industrialfoundry",1
"militaryUS Indian Agency, fort",1
"militaryUS Indian Agency, fort, cemetery",1
"militaryartillery emplacement, short term encampment",1
"militaryblockhouse, earthwork",1
"militaryblockhouse, earthwork, headquarters",1
"militaryblockhouse, entrenchment, redoubt, long term encampment, signal station, explosive magazine",1
"militaryblockhouse, entrenchment, redoubt, rr guard post, long term encampment",1
"militaryblockhouse, entrenchment, redoubt, rr guard post, small battlefield, long term encampment, mill_saw, company town, cemetery, ferry",1
"militaryblockhouse, entrenchment, small battlefield",1
"militaryblockhouse, ferry",1
"militaryblockhouse, long term encampment, Urban, bridge",1
"militaryblockhouse, long term encampment, ferry, bridge",1
"militaryblockhouse, redoubt, rr guard post, long term encampment",1
"militaryblockhouse, rr guard post, small battlefield, long term encampment",1
"militaryblockhouse, stockade, entrenchment, rr guard post, long term encampment",1
"militaryblockhouse, stockade, fort, rr guard post, long term encampment, headquarters, rr bridge",1
"militaryblockhouse, stockade, long term encampment, internment center",1
home industryfurniture shop,1
"home industryblacksmith shop, rural domestic scatter, cemetery",1
"militaryentrenchment, artillery emplacement, large battlefield",1
"blacksmith shop, rural domestic house",1
"boat landing, cistern, untyped structure",1
"boat landing, rr spur",1
"boat wreck, other",1
"bottling plant, pump house",1
"bottling plant, store, tavern, boarding house, pharmacist's office",1
"bottling plant, well, cistern",1
brick kiln,1
"brickmaking, church, Urban domestic house, public cemetery, rr depot-spur-bridge, road, bridge, other",1
"bridge, untyped historic scatter",1
"camp meeting, cemetery",1
"cave, stone quarry, springhouse",1
"cave, stone wall",1
cavemoonshine still,1
"cavesaltpeter, grist mill, military long term encampment",1
"cavesaltpeter, military",1
"cavesaltpeter, pictograph",1
cavesaltpeter_moonshine still,1
cavestill,1
"cemetery, untyped historic scatter",1
boarding house,1
"blacksmith shop, rural domestic farmstead, cistern, untyped structure",1
"check dam, untyped historic scatter",1
blacksmith shop,1
Fish weir,1
Mine-Phosphate,1
"Public cemetery, military cemetery",1
Rural domestic untyped structure,1
"Urban domestic house, commercial",1
"Urban domestic house, isolated grave",1
"Urban domestic house, military",1
"Urban domestic house, private cemetery",1
"Urban domestic house, rr depot",1
Urban domestic scatter,1
"Urban domestic, abandoned town, cemetery",1
"Urban domestic, dump",1
"Urban domestic, home industrypottery",1
"Urban domestic, militaryshort term encampment",1
"Urban house, military",1
"abandoned town, health spa, rural domestic scatter",1
"abandoned town, house, well, road",1
"abandoned town, private cemetery",1
"abandoned town, rural domestic plantation, cemetery",1
check dam and bridge,1
"church, Urban domestic house",1
"home industryblacksmith shop, other",1
commercialtavern,1
"courthouse, well",1
"doctor's office, rural domestic scatter",1
"dump, untyped historic scatter",1
educational,1
"explosive magazine (non-military), ferry, road",1
"feed mill, commercialstore, warehouse, school, town, boat landing",1
"ferry, road",1
gold mine complex,1
"grist mill, rural domestic house",1
"grist mill, rural domestic house, barn",1
"grist mill, rural domestic house, farmstead, barn, well",1
historic petroglyph,1
"historic rockshelter, isolated grave, moonshine still",1
historic untyped stone structure,1
home industry,1
"home industry, rural domestic farmstead",1
"home industry, rural domestic untyped structure",1
"home industryblacksmith shop, commercial_store",1
"home industryblacksmith shop, farmstead, cemetery",1
"commercialtavern, inn",1
"commercialstore, tavern, inn, office, Urban house",1
"church, mission",1
"commercialstore, tavern, boarding house, Urban house",1
"church, school",1
"church, school, cemetery",1
"city office, school, hospital, cistern, military long term encampment and hospital",1
"commercial, military, other",1
"commercial, road, other",1
"commercial, rr spur",1
"commercial, rural domestic house",1
"commercial, rural domestic untyped structure",1
commercialboarding house,1
"commercialoffice, rural domestic house",1
"commercialpottery, school",1
"commercialpottery, school, church, parsonage, rural domestic farmstead, cemetery",1
"commercialstore, boarding house, inn, Urban house",1
"commercialstore, boat landing, ferry",1
"commercialstore, church, Urban house",1
"commercialstore, public_reservoir",1
"commercialstore, rural domestic house, well, untyped structure",1
"commercialstore, rural domestic untyped structure",1
"commercialstore, school",1
"militaryentrenchment, artillery emplacement, ferry, rural domestic house",1
"militaryentrenchment, large battlefield, cemetery, rural domestic farmstead",1
millsorghum,1
"militaryshort term encampment, rural domestic house, airfield",1
"militaryshort term encampment, rural domestic plantation, brick kiln, isolated grave",1
"militaryshort term encampment, rural domestic plantation, private cemetery",1
"militaryshort term encampment, short term hospital",1
"militaryshort term encampment, short term hospital, church",1
"militaryshort term encampment, untyped historic scatter",1
militaryshort term hospital,1
"militaryshort term hospital, CCC camp",1
"militaryshort term hospital, cemetery, church",1
"militaryshort term hospital, church",1
"militaryshort term hospital, headquarters, Urban house",1
"militaryshort term hospital, headquarters, rural domestic house",1
"militaryshort term hospital, home_industry_pottery, rural domestic farmstead",1
"militaryshort term hospital, mill_grist, rural domestic farmstead",1
"Commercial store, warehouse, Urban house",1
militarysignal station,1
"militarysignal station, rural domestic farmstead",1
"militarysmall battlefield, headquarters, Urban house",1
"militarysmall battlefield, long term encampment, headquarters, public cemetery",1
"militarysmall battlefield, medical_doctor's office, rural domestic_multiple features",1
"militaryshort term encampment, rural domestic plantation",1
"militaryshort term encampment, rural domestic house",1
"militarysmall battlefield, rural domestic house",1
"militaryshort term encampment, private cemetery",1
"militarymuster grounds, earthwork_entrenchment, large battlefield, long term encampment, signal station, house, road",1
"militarymuster grounds, inn, rural domestic house",1
militarypetroglyph,1
"militarypost, public cemetery, dump",1
"militaryredan, large battlefield, long term encampment, short term hospital, cemetery, boat landing",1
"militaryredan, rr guard post, long term encampment, short term hospital, headquarters, rural domestic farmstead, road",1
"militaryredoubt, long term encampment, headquarters",1
"militaryredoubt, rr guard post, headquarters",1
militaryroad,1
militaryrr bridge,1
"militaryrr guard post, bridge",1
"militaryrr guard post, long term encampment, mill_saw, distillery, fertilizer factory, rural domestic house",1
"militaryrr guard post, small battlefield, long term encampment",1
"militaryrr guard post, small battlefield, mill_saw, rural domestic house",1
"militaryrr guard post, small battlefield, short term hospital, college",1
"militaryshort term encampment, church",1
"militaryshort term encampment, internment center, airfield",1
"militaryshort term encampment, long term encampment",1
"militaryshort term encampment, long term encampment, ferry",1
"militarysmall battlefield, public cemetery",1
"militarysmall battlefield, short term encampment, rural domestic farmstead, private cemetery",1
"militarymultiple features, university",1
"millgrist, saw, feed",1
"millgrist, saw, stone quarry, store, post office, rural domestic farmstead",1
"millgrist, store, ferry",1
"millgrist, store, post office, farmstead",1
"millgrist, store, school",1
"millgrist, wagonmaking shop, commercial_store, town",1
"millindeterminate, road",1
"millindeterminate, rural domestic house",1
millpowder,1
"millsaw, blacksmith shop, tanyard, cotton gin, town",1
"millsaw, brickmaking, well",1
"millsaw, check dam",1
"millsaw, cobbling shop, store, post office, church, town, cemetery, boat landing, dam, road",1
"millsaw, cotton gin, store, town",1
"millsaw, rr depot",1
"millsaw, rural domestic farmstead",1
"millsaw, rural domestic house, well",1
"millsaw, rural domestic scatter",1
"millsaw, school",1
"millsaw, woolen, iron_forge, cotton gin, blacksmith shop, store, town",1
"millgrist, saw, stone quarry, rural domestic farmstead_multiple features",1
"millgrist, rural domestic untyped structure, other",1
"militarysmall battlefield, short term encampment, rural domestic springhouse, cistern, road, rock shelter",1
"millgrist, rural domestic untyped structure",1
"militarysmall battlefield, short term encampment, short term hosptal, cemetery",1
"militarysmall battlefield, short term hospital, cemetery, church,",1
"militarystockade, earthwork, redan, state capitol",1
"militarystockade, rr guard post, long term encampment,",1
"militarystockade, rr guard post, small battlefield, cemetery",1
millfeed,1
